recno,Karmn,Name,GJ,RAICRS,DEICRS,SpType,l_vsini,vsini,Age,factive,SimbadName,_RA_icrs,_DE_icrs
105,"J09423+559 ",GJ 363,"   363",145.59116666666665,55.98149999999999,M3.5V,<,2.0,5.0,0,GJ 363,145.59116666666665,55.98149999999999
106,"J09425+700 ",GJ 360,"   360",145.6367083333333,70.03272222222222,M2.0V,<,2.0,0.6,1,GJ 360,145.6367083333333,70.03272222222222
107,"J09428+700 ",GJ 362,"   362",145.70708333333332,70.03827777777776,M3.0V,<,2.0,0.6,1,GJ 362,145.70708333333332,70.03827777777776
108,"J09439+269 ",Ross 93,"  3564",145.97891666666663,26.96855555555555,M3.5V,<,2.0,0.6,0,Ross 93,145.97891666666663,26.96855555555555
109,"J09447-182 ",GJ 1129,"  1129",146.19004166666664,-18.214333333333332,M4.0V,<,2.0,5.0,0,GJ 1129,146.19004166666664,-18.214333333333332
110,"J09468+760 ",BD+76 3952,"   366",146.7035833333333,76.0396111111111,M1.5V,<,2.0,5.0,0,BD+76 3952,146.7035833333333,76.0396111111111
111,"J09511-123 ",BD-11 2741,"   369",147.79516666666666,-12.336111111111109,M0.5V,<,2.0,5.0,0,BD-11 2741,147.79516666666666,-12.336111111111109
112,"J09561+627 ",BD+63 869,"   373",149.03324999999998,62.78594444444444,M0.0V,<,2.0,0.3,1,BD+63 869,149.03324999999998,62.78594444444444
113,"J10023+480 ",BD+48 1829,"   378",150.58654166666665,48.08244444444444,M1.0V,<,2.0,5.0,0,BD+48 1829,150.58654166666665,48.08244444444444
114,"J10122-037 ",AN Sex,"   382",153.0729583333333,-3.7467222222222216,M1.5V,<,2.0,0.3,0,AN Sex,153.0729583333333,-3.7467222222222216
115,"J10125+570 ",LP 092-048,"     0",153.14216666666664,57.06130555555555,M3.5V,<,2.0,0.1,0,LP 092-048,153.14216666666664,57.06130555555555
116,"J10167-119 ",GJ 386,"   386",154.18962499999998,-11.964388888888887,M3.0V,<,2.0,5.0,0,GJ 386,154.18962499999998,-11.964388888888887
117,"J10196+198 ",AD Leo,"   388",154.89887499999998,19.86980555555555,M3.0V," ",4.4,0.3,1,AD Leo,154.89887499999998,19.86980555555555
118,"J10251-102 ",BD-0 3070,"   390",156.29212499999997,-10.228166666666665,M1.0V,<,2.0,0.6,0,BD-0 3070,156.29212499999997,-10.228166666666665
119,"J10289+008 ",BD+01 2447,"   393",157.228875,0.837861111111111,M2.0V,<,2.0,0.15,0,BD+01 2447,157.228875,0.837861111111111
120,"J10350-094 ",LP 670-017,"     0",158.75566666666666,-9.411499999999998,M3.0V,<,2.0,5.0,0,LP 670-017,158.75566666666666,-9.411499999999998
121,"J10396-069 ",GJ 399,"   399",159.91591666666665,-6.924194444444444,M2.5V,<,2.0,0.3,0,GJ 399,159.91591666666665,-6.924194444444444
122,"J10416+376 ",GJ 1134,"  1134",160.39991666666666,37.609333333333325,M4.5V,<,2.0,5.0,0,GJ 1134,160.39991666666666,37.609333333333325
